hero_id,hero_name,total_appearances,total_win_rate,Herald_appearances,Herald_win_rate,Guardian_appearances,Guardian_win_rate,Crusader_appearances,Crusader_win_rate,Archon_appearances,Archon_win_rate,Legend_appearances,Legend_win_rate,Ancient_appearances,Ancient_win_rate,Divine_appearances,Divine_win_rate,Immortal_appearances,Immortal_win_rate
80,Lone Druid,212293,46.84,4424,48.55,19248,47.30,35334,46.85,47488,46.82,44948,46.08,29813,47.17,25136,47.28,0,0.00
81,Chaos Knight,161534,51.86,7692,52.74,24570,52.03,33540,52.22,34995,51.36,27257,51.47,15697,52.07,9824,51.57,0,0.00
82,Meepo,53644,53.35,2401,52.98,6541,52.94,9701,51.91,11463,53.27,9830,54.09,6296,54.51,5265,54.89,0,0.00
83,Treant Protector,190007,49.70,3767,47.65,13719,48.57,24547,48.59,35499,48.74,39063,49.42,29582,50.09,39850,51.85,0,0.00
84,Ogre Magi,628113,50.82,20225,52.63,74946,51.77,119585,51.07,147521,50.79,127546,50.50,72521,50.27,41645,48.94,0,0.00
85,Undying,577590,50.91,13026,51.42,52307,51.55,92104,51.16,126232,51.31,125354,50.83,83370,50.77,69904,49.68,0,0.00
86,Rubick,786369,49.59,12011,49.66,51459,48.43,103430,49.13,164120,49.22,188419,49.98,136548,49.82,111446,50.19,0,0.00
87,Disruptor,279749,49.96,4765,49.02,20347,48.50,38146,49.50,59194,49.60,65131,50.08,46688,50.47,38024,51.10,0,0.00
88,Nyx Assassin,204221,51.89,4448,50.79,17165,51.25,30511,52.02,42820,51.91,45856,52.22,32274,52.30,25357,51.33,0,0.00
89,Naga Siren,49741,48.96,3164,50.38,8512,50.32,10277,48.80,10227,47.98,7330,47.44,4265,48.70,3319,50.98,0,0.00
90,Keeper of the Light,222257,50.63,6782,46.27,22439,48.61,35372,49.59,45753,50.29,43922,51.32,30057,51.63,31143,53.07,0,0.00
91,Io,247108,47.26,5426,48.40,20472,48.98,38147,48.10,52628,47.30,53443,46.57,37202,46.22,34171,47.15,0,0.00
92,Visage,45466,54.08,1576,49.75,4504,52.42,6944,52.82,8975,53.85,8528,53.87,6287,56.24,7421,56.39,0,0.00
93,Slark,370862,50.09,8952,52.54,33336,50.69,58349,49.94,81107,49.75,81485,49.49,53939,50.07,40441,50.91,0,0.00
94,Medusa,105163,50.17,3645,50.01,11854,50.93,19186,50.48,24825,50.49,22047,49.87,12702,49.78,7485,48.96,0,0.00
95,Troll Warlord,89904,51.64,5576,52.56,13598,52.30,16382,51.40,18356,51.59,15250,50.86,9130,51.39,6504,51.60,0,0.00
96,Centaur Warrunner,400659,50.06,6751,51.21,29725,51.13,58815,50.65,89087,50.18,94636,50.04,63528,49.52,48775,48.84,0,0.00
97,Magnus,420830,49.08,4712,47.03,23891,47.37,55224,48.18,91756,48.77,105254,49.43,75186,49.66,55116,49.92,0,0.00
98,Timbersaw,191938,44.51,4448,45.30,16054,43.75,28035,44.96,39339,44.85,41129,44.27,28864,43.85,27590,44.78,0,0.00
99,Bristleback,253151,48.92,14916,53.81,44199,51.10,55806,48.97,54508,47.79,39429,47.56,19446,46.63,11264,45.10,0,0.00
100,Tusk,217939,48.10,3215,44.79,12755,46.09,24982,46.76,39841,47.51,48993,48.34,40522,48.89,41557,49.45,0,0.00
101,Skywrath Mage,443906,49.93,14996,50.50,51304,50.58,79749,49.84,98667,50.03,88987,49.71,54633,49.98,39318,48.98,0,0.00
102,Abaddon,111806,51.26,3619,51.95,11617,51.30,18427,51.00,24761,51.85,23594,50.78,15441,52.01,10877,50.40,0,0.00
103,Elder Titan,37681,51.91,1118,49.64,3751,48.47,5721,49.96,7335,51.63,7261,53.17,5215,53.90,5791,53.81,0,0.00
104,Legion Commander,538701,53.04,14711,52.36,57475,52.71,98861,53.15,126772,53.25,114872,53.13,66275,53.11,40223,52.61,0,0.00
105,Techies,365014,51.15,11300,51.97,39800,51.46,63605,51.31,80106,51.10,75234,51.09,46923,51.27,35730,50.40,0,0.00
106,Ember Spirit,383110,48.59,6360,46.89,25606,47.00,50694,47.08,78289,48.43,87038,48.88,65154,49.19,62317,49.90,0,0.00
107,Earth Spirit,393605,48.52,4974,47.95,23251,47.09,50154,47.02,81858,47.82,92616,48.48,69074,49.23,65347,50.43,0,0.00
108,Underlord,456996,50.11,6757,51.38,29895,52.20,62282,51.58,100081,50.62,110915,49.77,75966,49.13,61998,48.11,0,0.00
109,Terrorblade,155305,46.62,5165,48.07,16991,45.84,26206,45.41,31717,45.65,29884,46.52,20026,47.87,20568,48.53,0,0.00
110,Phoenix,196224,51.60,3181,50.83,13562,50.91,27755,51.97,41274,51.88,44531,51.34,32008,51.52,29860,51.66,0,0.00
111,Oracle,134277,50.74,2657,44.82,10338,48.09,19321,49.22,27590,50.45,29322,51.45,21856,51.88,19955,52.91,0,0.00
112,Winter Wyvern,290081,49.85,6302,48.41,24186,48.49,42399,48.90,58156,49.48,60818,49.75,44322,50.64,47381,51.52,0,0.00
113,Arc Warden,145610,53.33,4021,52.13,15230,52.97,26187,52.76,33255,53.12,30295,53.80,18207,53.67,14337,54.50,0,0.00
114,Monkey King,158255,45.75,5665,45.00,17072,44.99,25248,44.48,32420,45.27,31877,45.89,21899,46.60,17964,48.06,0,0.00
119,Dark Willow,283328,48.44,7363,47.32,24606,46.92,40591,47.40,57041,48.07,60689,48.66,43946,49.33,41730,49.87,0,0.00
120,Pangolier,137021,46.03,1995,43.46,8334,44.78,16288,45.94,25502,45.46,31434,46.39,24585,46.32,25895,46.73,0,0.00
121,Grimstroke,221518,51.84,4434,50.32,17469,51.29,32528,51.80,47746,52.22,50243,51.96,35035,52.11,28900,51.71,0,0.00
123,Hoodwink,507739,47.47,12801,47.64,45312,47.45,79049,47.33,108929,47.47,108990,47.42,75456,47.51,64437,47.71,0,0.00
126,Void Spirit,149399,49.65,3284,47.69,11335,48.81,19635,49.25,29022,49.71,32760,50.13,24959,49.86,24221,49.76,0,0.00
128,Snapfire,490798,48.95,8187,47.77,32760,47.92,63858,49.03,101915,49.17,116095,49.41,84895,49.09,70752,48.47,0,0.00
129,Mars,162793,47.40,2743,48.20,10221,46.56,19972,46.72,32648,47.39,38313,47.87,29365,47.67,24413,47.15,0,0.00
131,Ring Master,221231,48.29,3702,46.84,14763,47.11,29317,47.66,44520,48.29,50116,48.72,37792,48.61,36553,48.70,0,0.00
135,Dawnbreaker,363744,52.17,5897,51.86,24328,51.91,48327,52.13,75391,52.23,85470,52.16,62248,52.49,54426,51.90,0,0.00
136,Marci,131136,50.20,4393,47.55,13496,48.88,20541,49.16,26764,50.21,26566,51.28,18433,50.90,16460,51.29,0,0.00
137,Primal Beast,93010,49.56,2563,49.04,9162,49.19,15256,48.67,19487,49.21,18226,49.74,12727,48.91,12780,51.89,0,0.00
138,Muerta,111875,47.82,4406,48.59,11835,47.80,17845,48.08,22751,47.35,22585,48.22,15487,47.23,13012,47.56,0,0.00
145,Kez,204846,44.21,5475,47.25,17386,44.69,29768,44.51,42043,43.85,43826,43.70,31600,43.68,29300,44.86,0,0.00
155,Largo,79506,47.49,1553,46.94,5401,46.40,9638,46.41,14592,47.01,17231,47.20,13954,48.18,15160,48.85,0,0.00
